id;nom;insee;adresse;url;type_usagers;gratuit;nb_places;nb_pr;nb_pmr;nb_voitures_electriques;nb_velo;nb_2r_el;nb_autopartage;nb_2_rm;nb_covoit;hauteur_max;num_siret;xlong;ylat;tarif_pmr;tarif_1h;tarif_2h;tarif_3h;tarif_4h;tarif_24h;abo_resident;abo_non_resident;type_ouvrage;info;id_entrees;adress_geo_entrees;arrdt;deleg;tel;horaire_na;asc_surf;date_ta;ab_1m_e;ab_1a_e;tarif_pr;pr_1a_mine;pr_1a_maxe;tarif_res;tf_res_1ae;date_th;tf_15mn_e;tf_30mn_e;tf_1h30_e;tf_7h_e;tf_8h_e;tf_9h_e;tf_10h_e;tf_11h_e;tf_12h_e;abpmr_1m_e;abpmr_1t_e;abpmr_1a_e;mis_a_jour;abve_1m_e;abve_1t_e;abve_1a_e;tmoto_1ehe;abmoto_1me;abmoto_1te;abmoto_1ae;tvelo_1m_e;point_x_entrees;point_y_entrees;zones_res;tf_15mn_mo;tf_30mn_mo;tf_24h_mot;tf_pr_moto;pr_1a_minm;pr_1a_maxm;tf_res_mo;tf_res_1am;parc_amod;ab_1a_patt;parc_relai;ab_1m_rela;tf_res_1me;pass_2rm;pass_2rm_1h;pass_2rm_1m;pass_2rm_3m;pass_2rm_1a;geo_shape;geo_point_2d
75111-P-080;ROQUETTE;75111;16 bis rue servan, 75011, Paris;https://www.saemes.fr/fr/parking/parking-roquette;abonnés;0;266;0;0;0;0;0;0;0;0;190;31703299300741;2.38370585;48.85986034;tarif_special;;;;;;;126.0;ouvrage;abonnements avec reservation uniquement;80-E-A;16 BIS RUE SERVAN;11;SAEMES;0144829999;POUR ABONNES;NON;1900-01-01T00:09:21+00:00;;;NON;;;NON;;1900-01-01T00:09:21+00:00;;;;;;;;;;63.0;;;2025-09-01T02:00:00+00:00;;;;;51.0;134.0;510.0;;654783.48;6862379.279;;;;;NON;;;NON;;NON;1260.0;NON;;;NON;;;;;"{""coordinates"": [2.3837058461624006, 48.859860340186756], ""type"": ""Point""}";48.859860340186756, 2.3837058461624006
75108-P-024;CONCORDE;75108;14 place de la concorde, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/place-de-la-concorde-75082100;tous;0;821;0;13;0;0;0;0;0;0;190;72204380902362;2.32000365;48.86617169;tarif_special;5.3;10.6;15.9;21.2;47.7;212.0;265.0;ouvrage;tarif petit rouleur -40 % = contacter le parc,tarif PMR = 2,65 euros;24-E-A;14 PLACE DE LA CONCORDE;8;INDIGO;0141720261;7j / 7;PREVU;2025-05-01T02:00:00+00:00;265.0;2756.0;OUI;1653.6;2204.8;NON;;2025-02-01T01:00:00+00:00;1.35;2.7;8.0;37.1;42.4;47.7;47.7;47.7;47.7;132.0;378.0;1378.0;2025-09-01T02:00:00+00:00;132.0;378.0;1378.0;1.85;92.0;264.0;964.0;10.0;650115.905;6863119.411;1E,2E,7G,7L,8E,8H,9G;0.5;0.95;16.65;NON;;;NON;;NON;3445.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.32000364957849, 48.866171691348356], ""type"": ""Point""}";48.866171691348356, 2.32000364957849
75112-P-103;FAUBOURG SAINT ANTOINE;75112;83 ter avenue ledru rollin, 75012, Paris;https://fr.parkindigo.com/parking/paris-75012/faubourg-saint-antoine-75120200;tous;0;251;0;6;17;48;0;0;17;0;190;67203552400087;2.37556129;48.85084205;;5.3;10.6;15.9;21.2;47.7;;273.0;ouvrage;;103-E-A;83 TER AVENUE LEDRU ROLLIN;12;INDIGO;0144755243;7j / 7;OUI;2025-04-01T02:00:00+00:00;273.0;2839.0;NON;;;NON;;2025-01-01T01:00:00+00:00;1.35;2.7;8.0;37.1;42.4;47.7;47.7;47.7;47.7;;;;2025-09-01T02:00:00+00:00;;;;;149.0;423.0;1549.0;10.0;654178.009;6861381.217;;;;;NON;;;NON;;NON;3548.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.375561286479554, 48.850842047814744], ""type"": ""Point""}";48.850842047814744, 2.375561286479554
75108-P-107;CHAMPS ELYSEES;75108;64 avenue des champs elysees, 75008, Paris;https://www.saemes.fr/fr/parking/parking-champs-elysees;tous;0;647;0;11;10;0;0;0;10;0;190;72205418600035;2.305418;48.870672;tarif_special;0.0;0.0;0.0;0.0;0.0;209.0;299.0;ouvrage;;107-E-A,107-E-B;64 AVENUE DES CHAMPS ELYSEES,113 AVENUE CHAMPS ELYSEES;8;SAEMES;0141720261;7j / 7;OUI;2025-04-01T02:00:00+00:00;299.0;3109.0;NON;;;OUI;2176.0;2025-08-02T02:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025-09-01T02:00:00+00:00;209.0;594.0;2176.0;;105.0;297.0;1096.0;10.0;649050.34 | 648613.909;6863629.122 | 6863799.249;8E,8F,8G,8H,8J,16E,16F,16G,16H,16I,16J,17E;;;;NON;;;NON;;NON;3886.0;NON;;209.0;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3054179969406805, 48.87067199923715], ""type"": ""Point""}";48.87067199923715, 2.3054179969406805
75107-P-058;JOFFRE;75107;2 ter place joffre, 75007, Paris;https://fr.parkindigo.com/parking/paris-75007/joffre-ecole-militaire-75070200;tous;0;692;0;10;0;6;0;0;0;0;190;72205418600035;2.30520683;48.85422717;tarif_special;5.3;10.6;15.9;21.2;47.7;;224.0;ouvrage;tarif PMR = 2,65 euros;58-E-A,58-E-B,58-E-C,58-E-E,58-M-D;2 TER PLACE JOFFRE,6 TER PLACE JOFFRE,14 AVENUE FREDERIC LE PLAY,77 AVENUE DE SUFFREN,13 AVENUE EMILE ACOLLAS;7;INDIGO;0145484330;7j / 7;ACCESSIBLE DE PLAIN PIED;2025-04-01T02:00:00+00:00;224.0;2329.0;NON;;;NON;;2025-01-01T01:00:00+00:00;1.35;2.7;8.0;37.1;42.4;47.7;47.7;47.7;47.7;112.0;318.0;1164.0;2025-09-01T02:00:00+00:00;112.0;318.0;1164.0;1.85;78.0;222.0;811.0;10.0;649018.761 | 648969.76 | 648961.935 | 648682.206 | 648718.454;6861800.736 | 6861752.635 | 6861775.441 | 6861495.855 | 6861544.142;;0.5;0.95;16.65;NON;;;NON;;NON;3671.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3052068295024473, 48.85422716639152], ""type"": ""Point""}";48.85422716639152, 2.3052068295024473
75106-P-055;SAINT GERMAIN DES PRES;75106;169 ter boulevard saint germain, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/saint-germain-des-pres-75060800;tous;0;342;0;17;6;0;0;1;6;0;190;69200653900138;2.33113402;48.85420443;;5.7;11.4;17.1;22.8;51.3;;359.0;ouvrage;;55-E-A;169 TER BOULEVARD SAINT GERMAIN;6;INDIGO;0145491855;7j / 7;OUI;2025-04-01T02:00:00+00:00;359.0;3733.0;NON;;;NON;;2025-01-01T01:00:00+00:00;1.45;2.9;8.6;39.9;45.6;51.3;51.3;51.3;51.3;;;;2025-09-01T02:00:00+00:00;;;;;154.0;438.0;1605.0;;650921.13;6861781.78;;;;;NON;;;NON;;NON;;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3311340161454095, 48.854204424188836], ""type"": ""Point""}";48.854204424188836, 2.3311340161454095
75115-P-165;VELOSTATION GARE MONTPARNASSE;75115;22 m rue de l arrivee, 75015, Paris;https://fr.parkindigo.com/parking/paris-75015/velostation-gare-montparnasse-75150800;abonnés;0;0;0;0;0;394;22;0;0;0;230;30464607800481;2.32100915;48.84267019;;;;;;;;;ouvrage;uniquement velos et velos avec assistance electrique;165-M-A;22 M RUE DE L ARRIVEE;15;INDIGO;0145484330;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;1900-01-01T00:09:21+00:00;;;NON;;;NON;;1900-01-01T00:09:21+00:00;;;;;;;;;;;;;2025-09-01T02:00:00+00:00;;;;;;;;10.0;650167.195;6860505.628;;;;;NON;;;NON;;NON;;NON;;;NON;;;;;"{""coordinates"": [2.3210091462608244, 48.842670188104584], ""type"": ""Point""}";48.842670188104584, 2.3210091462608244
75108-P-015;HOCHE;75108;14 quater avenue hoche, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/hoche-75080500;tous;0;431;0;11;19;0;0;0;19;0;190;65200836800100;2.30215928;48.87684389;;5.5;11.0;16.5;22.0;49.5;;342.0;ouvrage;;15-E-A,15-E-B;14 QUATER AVENUE HOCHE,29 TER AVENUE HOCHE;8;INDIGO;0141720270;7j / 7;OUI;2025-04-01T02:00:00+00:00;342.0;3556.0;NON;;;NON;;2025-01-01T01:00:00+00:00;1.4;2.8;8.3;38.5;44.0;49.5;49.5;49.5;49.5;;;;2025-09-01T02:00:00+00:00;;;;;;;;;648817.375 | 648754.934;6864317.497 | 6864254.791;;;;;NON;;;NON;;NON;3911.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3021592835248064, 48.87684389094859], ""type"": ""Point""}";48.87684389094859, 2.3021592835248064
75101-P-046;LOUVRE SAMARITAINE;75101;7 place du louvre, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/louvre-samaritaine-75011200;tous;0;553;0;13;6;118;0;0;6;0;190;50472714000056;2.34052914;48.85948368;tarif_special;5.4;10.8;16.2;21.6;48.6;253.0;317.0;ouvrage;tarif petit rouleur -62 % = contacter le parc,tarif PMR = 2,70 euros;46-E-A;7 PLACE DU LOUVRE;1;INDIGO;0141720261;7j / 7;OUI;2025-04-01T02:00:00+00:00;317.0;3296.0;OUI;1265.28;2636.0;NON;;2025-01-01T01:00:00+00:00;1.35;2.7;8.1;37.8;43.2;48.6;48.6;48.6;48.6;158.0;450.0;1648.0;2025-09-01T02:00:00+00:00;158.0;450.0;1648.0;1.85;110.0;315.0;1153.0;10.0;651615.395;6862362.988;1E;0.5;0.95;16.65;OUI;443.52;924.0;NON;;NON;4120.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.340529135596298, 48.85948367925792], ""type"": ""Point""}";48.85948367925792, 2.340529135596298
75108-P-159;ROND POINT (GARAGE);75108;2 m rond point des champs elysees marcel dassault, 75008, Paris;https://fr.parkindigo.com/acheteruneplace/parking/paris-75008/rond-point-des-champs-elysees-75080400;abonnés;0;301;0;0;0;23;3;0;0;0;190;64202088700419;2.31104798;48.86932421;tarif_special;;;;;;165.0;311.0;ouvrage;;159-E-A;2 M ROND POINT DES CHAMPS ELYSEES MARCEL DASSAULT;8;INDIGO;0141720261;POUR ABONNES;OUI;1900-01-01T00:09:21+00:00;311.0;3110.0;NON;;;OUI;1650.0;1900-01-01T00:09:21+00:00;;;;;;;;;;0.0;0.0;0.0;2025-09-01T02:00:00+00:00;155.0;441.0;1555.0;;108.0;309.0;1088.0;10.0;649461.998;6863475.64;8E,8F,8G,8H,8J;;;;NON;;;OUI;570.0;NON;3732.0;NON;;165.0;NON;;;;;"{""coordinates"": [2.3110479812439455, 48.86932420562668], ""type"": ""Point""}";48.86932420562668, 2.3110479812439455
75105-P-085;POLIVEAU;75105;39 bis rue poliveau, 75005, Paris;https://www.saemes.fr/fr/parking/parking-poliveau;abonnés;0;47;0;0;0;0;0;1;0;0;190;31703299300741;2.35755955;48.83985185;;;;;;;;190.0;ouvrage;abonnements avec reservation uniquement;85-E-A;39 BIS RUE POLIVEAU;5;SAEMES;0144829999;POUR ABONNES;NON;1900-01-01T00:09:21+00:00;;;NON;;;NON;;1900-01-01T00:09:21+00:00;;;;;;;;;;;;;2025-09-01T02:00:00+00:00;;;;;;209.0;;;652847.108;6860169.811;;;;;NON;;;NON;;NON;1900.0;NON;;;NON;;;;;"{""coordinates"": [2.357559545900926, 48.8398518445111], ""type"": ""Point""}";48.8398518445111, 2.357559545900926
75106-P-086;MARCHE SAINT GERMAIN;75106;2 ter rue lobineau, 75006, Paris;https://www.saemes.fr/fr/parking/parking-marche-saint-germain;abonnés;0;76;0;0;0;0;0;0;0;0;190;31703299300741;2.3366929;48.85179163;;;;;;;;295.0;ouvrage;abonnements avec reservation uniquement;86-E-A;2 TER RUE LOBINEAU;6;SAEMES;0144829999;POUR ABONNES;NON;1900-01-01T00:09:21+00:00;;;NON;;;NON;;1900-01-01T00:09:21+00:00;;;;;;;;;;;;;2025-09-01T02:00:00+00:00;;;;;103.0;284.0;1030.0;;651326.757;6861510.059;;;;;NON;;;NON;;NON;2950.0;NON;;;NON;;;;;"{""coordinates"": [2.3366929044931606, 48.851791630891825], ""type"": ""Point""}";48.851791630891825, 2.3366929044931606
75107-P-042;BAC MONTALEMBERT;75107;39 rue du bac, 75007, Paris;https://www.saemes.fr/fr/parking/parking-bac-montalembert;tous;0;410;0;9;3;9;0;0;3;0;190;31703299300741;2.32697691;48.85659157;tarif_special;5.0;10.0;15.0;20.0;45.0;209.0;398.0;ouvrage;tarif PMR = 2,50 euros;42-E-A;39 RUE DU BAC;7;SAEMES;0142221566;7j / 7;OUI;2025-01-01T01:00:00+00:00;398.0;3980.0;NON;;;OUI;2090.0;2025-01-01T01:00:00+00:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;0.0;0.0;0.0;2025-09-01T02:00:00+00:00;278.0;779.0;2780.0;1.75;139.0;389.0;1390.0;10.0;650618.367;6862049.801;1E,6E,7G,7J,7L,7M,8E;0.45;0.9;15.75;NON;;;OUI;730.0;NON;4970.0;NON;;209.0;NON;;;;;"{""coordinates"": [2.3269769107335487, 48.85659157317527], ""type"": ""Point""}";48.85659157317527, 2.3269769107335487
75117-P-036;TERNES;75117;4 ter avenue des ternes, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/ternes-75172100;tous;0;1068;0;23;57;72;0;0;57;0;185;50472721500049;2.29685646;48.87815862;;5.0;10.0;15.0;20.0;45.0;;;ouvrage;tarif PMR = 2,50 euros;36-E-A,36-E-B,36-E-C;4 TER AVENUE DES TERNES,38 TER AVENUE DES TERNES,59 TER AVENUE DES TERNES;17;SAEMES;0141720270;7j / 7;OUI;2025-05-01T02:00:00+00:00;;;NON;;;NON;;2025-05-01T02:00:00+00:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;;;;2025-09-01T02:00:00+00:00;;;;1.75;;;;;648429.755 | 648169.669 | 648052.591;6864467.135 | 6864558.945 | 6864576.672;8G,17E,17F,17G,17H,17J,17L;0.45;0.9;15.75;NON;;;NON;;NON;;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.296856456300573, 48.87815861482396], ""type"": ""Point""}";48.87815861482396, 2.296856456300573
75106-P-135;SAINT PLACIDE;75106;33 ter rue saint placide, 75006, Paris;https://www.q-park.fr/fr-fr/villes/paris/saint-placide-sèvres-rue-de-rennes/;abonnés;0;0;0;0;0;0;0;0;0;0;190;37888823401562;2.32569223;48.84861163;;;;;;;;340.0;ouvrage;abonnes tres longue duree;135-E-A;33 TER RUE SAINT PLACIDE;6;Q PARK;0140701010;POUR ABONNES;OUI;1900-01-01T00:09:21+00:00;;;NON;;;NON;;1900-01-01T00:09:21+00:00;;;;;;;;;;;;;2025-09-01T02:00:00+00:00;;;;;;;;;650516.531;6861163.311;;;;;NON;;;NON;;OUI;4080.0;NON;;;OUI;;90.0;256.0;990.0;"{""coordinates"": [2.3256922264375577, 48.8486116314371], ""type"": ""Point""}";48.8486116314371, 2.3256922264375577
75107-P-060;INVALIDES;75107;24 rue de constantine, 75007, Paris;https://fr.parkindigo.com/parking/paris-75007/invalides-75070100;tous;0;494;0;3;0;10;0;0;0;0;190;72205418600035;2.31465998;48.85928758;tarif_special;5.3;10.6;15.9;21.2;47.7;207.0;296.0;ouvrage;tarif PMR = 2,65 euros;60-E-A;24 RUE DE CONSTANTINE;7;INDIGO;0147053647;7j / 7;PREVU;2025-04-01T02:00:00+00:00;296.0;3078.0;NON;;;OUI;2154.0;2025-01-01T01:00:00+00:00;1.35;2.7;8.0;37.1;42.4;47.7;47.7;47.7;47.7;148.0;420.0;1539.0;2025-09-01T02:00:00+00:00;148.0;420.0;1539.0;1.85;103.0;294.0;1077.0;10.0;649717.263;6862357.346;1E,7E,7F,7G,7H,7J,7K,7L,7M,7N,8E,16H;0.5;0.95;16.65;NON;;;OUI;738.0;NON;4186.0;NON;;207.0;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3146599819354683, 48.859287581418464], ""type"": ""Point""}";48.859287581418464, 2.3146599819354683
